"","Year","Month","COUNTY","Total.Sales"
"1470","2022","January","Tillamook",478792.44
"1471","2019","October","Tillamook",478727.62
"1472","2022","March","Hood River",478297.34
"1473","2019","June","Hood River",478132.75
"1474","2019","May","Wasco",477858.1
"1475","2019","November","Hood River",476477.14
"1476","2018","June","Hood River",476291.44
"1477","2019","June","Wasco",473429.57
"1478","2019","September","Hood River",473307.39
"1479","2018","November","Wasco",470113.47
"1480","2017","August","Wasco",469630.56
"1481","2019","May","Hood River",469246.61
"1482","2019","October","Hood River",467297.54
"1483","2018","August","Wasco",467287.15
"1484","2021","December","Malheur",467222.66
"1485","2019","October","Wasco",466116.93
"1486","2022","December","Crook",466066.4
"1487","2018","November","Hood River",464193.52
"1488","2017","June","Hood River",463320.53
"1489","2021","January","Wasco",463115.55
"1490","2018","May","Hood River",461620.85
"1491","2017","December","Tillamook",458620.83
"1492","2022","December","Union",458068.34
"1493","2017","June","Wasco",455712.82
"1494","2018","September","Hood River",455140.18
"1495","2020","April","Tillamook",453854.27
"1496","2018","June","Wasco",453339.57
"1497","2019","March","Tillamook",452042.27
"1498","2018","July","Wasco",449666.04
"1499","2022","February","Wasco",449634.82
"1500","2021","December","Union",449251.65
"1501","2021","January","Hood River",448475.53
"1502","2022","February","Hood River",447202.64
"1503","2021","February","Hood River",446648.44
"1504","2017","July","Wasco",445507.08
"1505","2018","October","Tillamook",440603.92
"1506","2018","May","Tillamook",440071.76
"1507","2018","October","Hood River",439864.19
"1508","2018","November","Tillamook",439838.49
"1509","2019","March","Wasco",437007.7
"1510","2017","June","Tillamook",434987.24
"1511","2021","December","Crook",433463.96
"1512","2018","May","Wasco",433002.63
"1513","2019","September","Wasco",431638.5
"1514","2017","November","Wasco",431524.91
"1515","2022","January","Wasco",429910.22
"1516","2018","October","Wasco",429542.42
"1517","2020","April","Hood River",427828.71
"1518","2020","December","Union",426462.15
"1519","2021","February","Wasco",426443.06
"1520","2019","April","Wasco",424934.27
"1521","2018","September","Wasco",424885.56
"1522","2017","September","Wasco",424324.88
"1523","2017","October","Wasco",424164.98
"1524","2022","January","Hood River",423872.65
"1525","2018","March","Hood River",422454.3
"1526","2017","October","Hood River",422019.56
"1527","2017","May","Tillamook",421691.61
"1528","2017","May","Wasco",421283.76
"1529","2017","November","Hood River",419206.21
"1530","2020","February","Tillamook",417399.58
"1531","2017","May","Hood River",417313.96
"1532","2018","March","Tillamook",416022.81
"1533","2019","April","Hood River",415308.75
"1534","2019","March","Hood River",414801.54
"1535","2019","April","Tillamook",413492.12
"1536","2018","March","Wasco",412371
"1537","2022","August","Curry",406708.2
"1538","2020","February","Wasco",404548.38
"1539","2020","December","Malheur",403732.4
"1540","2020","February","Hood River",401193.49
"1541","2022","July","Curry",400748.69
"1542","2020","April","Wasco",400617.92
"1543","2020","December","Crook",400094.3
"1544","2021","July","Curry",399031.85
"1545","2020","January","Tillamook",398902.31
"1546","2019","February","Hood River",395744.29
"1547","2019","February","Wasco",394580.9
"1548","2017","October","Tillamook",394068.07
"1549","2017","September","Hood River",393658.47
"1550","2018","April","Tillamook",392129.96
"1551","2022","September","Curry",390267.41
"1552","2017","March","Hood River",388985.03
"1553","2020","January","Wasco",384532.58
"1554","2019","January","Hood River",384049.39
"1555","2020","January","Hood River",383142.2
"1556","2017","November","Tillamook",382154.16
"1557","2018","April","Wasco",381462.41
"1558","2022","December","Curry",380763.35
"1559","2018","April","Hood River",380215.7
"1560","2017","March","Wasco",375686.45
"1561","2019","January","Wasco",375550.41
"1562","2017","March","Tillamook",374218.31
"1563","2017","April","Hood River",373053.97
"1564","2017","April","Wasco",372434.6
"1565","2021","August","Curry",371339.44
"1566","2021","December","Curry",370936.08
"1567","2019","December","Union",361781.41
"1568","2018","February","Hood River",361462.4
"1569","2022","June","Curry",360482.95
"1570","2018","December","Union",359236.11
"1571","2019","February","Tillamook",358217.1
"1572","2021","September","Curry",357166.08
"1573","2020","August","Curry",355586.27
"1574","2022","November","Crook",354186.31
"1575","2019","January","Tillamook",352742.3
"1576","2022","November","Union",352283.79
"1577","2018","January","Hood River",352123.79
"1578","2020","October","Union",349327.29
"1579","2019","December","Malheur",348911.42
"1580","2021","October","Union",348817.42
"1581","2018","February","Wasco",348610.52
"1582","2017","December","Union",347060.18
"1583","2022","November","Malheur",345090.38
"1584","2022","October","Curry",343047.98
"1585","2022","July","Crook",342206.03
"1586","2022","December","Baker",341858.95
"1587","2022","July","Union",341312.97
"1588","2020","July","Curry",340472.23
"1589","2022","October","Crook",340000.35
"1590","2017","April","Tillamook",339914.68
"1591","2022","March","Curry",337902.48
"1592","2017","February","Hood River",337655.22
"1593","2019","December","Crook",337545.72
"1594","2018","February","Tillamook",337504.33
"1595","2022","November","Curry",337314.76
"1596","2022","October","Malheur",337221.29
"1597","2022","October","Union",336288.22
"1598","2018","December","Malheur",335471.7
"1599","2018","January","Wasco",334999.44
"1600","2022","June","Crook",333793.68
"1601","2021","June","Curry",333686.65
"1602","2022","May","Curry",332753.58
"1603","2022","September","Crook",332362.26
"1604","2017","December","Malheur",331988.3
"1605","2021","November","Union",331898.31
"1606","2020","November","Union",331860.85
"1607","2022","August","Crook",331398.15
"1608","2020","May","Union",331137.59
"1609","2020","September","Curry",330137.88
"1610","2021","December","Baker",329059.58
"1611","2021","May","Union",328137.19
"1612","2021","October","Curry",327937.95
"1613","2017","February","Wasco",327489.85
"1614","2022","August","Union",327403.89
"1615","2018","January","Tillamook",326256.33
"1616","2022","April","Crook",326083.52
"1617","2022","June","Union",325088.6
"1618","2021","July","Union",325019
"1619","2021","November","Crook",324445.69
"1620","2022","June","Malheur",324327.82
"1621","2021","October","Crook",321822.27
"1622","2020","October","Curry",320674.76
"1623","2021","June","Union",320059.44
"1624","2022","May","Crook",319516.81
"1625","2020","July","Crook",318513.99
"1626","2020","July","Union",318254.1
"1627","2020","June","Curry",316833.61
"1628","2021","November","Curry",316649.39
"1629","2022","March","Crook",316155.3
"1630","2022","April","Curry",315900.54
"1631","2021","May","Curry",314517.21
"1632","2022","September","Union",314176.37
"1633","2021","November","Malheur",312355.91
"1634","2020","March","Union",311925.49
"1635","2022","May","Union",311822.58
"1636","2021","April","Curry",311325.54
"1637","2022","May","Malheur",311278.42
"1638","2020","September","Union",311189.97
"1639","2020","December","Curry",311183.1
"1640","2019","August","Curry",311065.03
"1641","2021","April","Union",310721.9
"1642","2022","December","Jefferson",310465.11
"1643","2019","January","Crook",309525.91
"1644","2021","July","Crook",308053.52
"1645","2021","March","Union",307181.07
"1646","2021","June","Crook",306435.81
"1647","2022","September","Malheur",306303.24
"1648","2021","September","Union",306189.2
"1649","2020","March","Crook",305697.58
"1650","2020","August","Union",304707.88
"1651","2022","April","Malheur",304176.15
"1652","2022","April","Union",304140.99
"1653","2020","October","Crook",304018.15
"1654","2021","October","Malheur",303338.76
"1655","2020","December","Baker",303187.16
"1656","2022","February","Curry",302853.84
"1657","2021","August","Union",302574.76
"1658","2020","June","Union",301709.95
"1659","2017","February","Tillamook",301650.38
"1660","2021","December","Jefferson",300895.39
"1661","2019","July","Curry",300709.75
"1662","2022","July","Malheur",300527.41
"1663","2021","May","Crook",300121.25
"1664","2020","May","Crook",299678.33
"1665","2019","September","Crook",298700.47
"1666","2022","March","Malheur",298681.13
"1667","2022","March","Union",297131.43
"1668","2020","October","Malheur",296352.23
"1669","2021","March","Crook",294973.05
"1670","2022","August","Malheur",292149.19
"1671","2020","April","Union",292034.35
"1672","2021","March","Curry",291287.06
"1673","2017","December","Crook",290990.81
"1674","2019","October","Union",290925.81
"1675","2019","November","Union",290624.43
"1676","2021","September","Crook",290614.53
"1677","2022","July","Baker",290557.09
"1678","2020","June","Crook",290377.12
"1679","2018","November","Crook",290276.02
"1680","2020","December","Jefferson",287847.74
"1681","2018","August","Curry",287499.9
"1682","2020","November","Crook",287031.33
"1683","2021","March","Malheur",283338.13
"1684","2020","September","Crook",283170.47
"1685","2021","April","Crook",282910.43
"1686","2019","July","Crook",282897.23
"1687","2019","August","Union",282560.85
"1688","2019","November","Crook",281695.12
"1689","2021","February","Curry",281424.83
"1690","2019","December","Curry",281063.56
"1691","2022","February","Malheur",280370.58
"1692","2022","August","Baker",279504.9
"1693","2020","August","Crook",279147.36
"1694","2022","November","Baker",278682.03
"1695","2021","August","Crook",278579.52
"1696","2022","September","Baker",277935.99
"1697","2020","September","Baker",277575.71
"1698","2018","November","Union",277449.7
"1699","2019","May","Crook",277059.1
"1700","2021","May","Baker",276945.73
"1701","2022","October","Baker",276864.59
"1702","2020","July","Baker",276673.78
"1703","2022","February","Union",274805.86
"1704","2021","July","Malheur",274787.93
"1705","2022","January","Curry",274390.76
"1706","2017","August","Crook",274301.28
"1707","2019","October","Crook",273850.63
"1708","2021","July","Baker",273457.19
"1709","2020","November","Malheur",273194.8
"1710","2019","October","Curry",272409.31
"1711","2021","May","Malheur",272360.99
"1712","2021","September","Baker",271431.55
"1713","2021","April","Malheur",271268.22
"1714","2019","July","Union",271109.34
"1715","2022","May","Baker",271028.46
"1716","2022","June","Baker",270160.62
"1717","2020","June","Baker",270005.73
"1718","2020","May","Malheur",269739.7
"1719","2021","February","Union",269312.95
"1720","2020","October","Baker",269210.12
"1721","2022","January","Union",268457.87
"1722","2021","September","Malheur",268204.86
"1723","2021","October","Baker",267784.31
"1724","2019","May","Union",267349.34
"1725","2020","April","Crook",266757.07
"1726","2022","February","Crook",266215.84
"1727","2018","July","Curry",265735.5
"1728","2020","May","Curry",265585.63
"1729","2021","January","Union",265300.65
"1730","2021","January","Curry",265157.94
"1731","2019","June","Crook",265088.73
"1732","2021","November","Baker",265055.85
"1733","2021","August","Malheur",263478.98
"1734","2021","June","Baker",263169.05
"1735","2021","June","Malheur",262775.04
"1736","2020","March","Malheur",262657.93
"1737","2018","June","Union",261626.15
"1738","2022","January","Crook",261346.74
"1739","2020","November","Curry",261122.19
"1740","2019","June","Union",260927.59
"1741","2019","November","Malheur",260684.74
"1742","2018","August","Union",260655.3
"1743","2017","October","Union",259798.95
"1744","2020","June","Malheur",259648.51
"1745","2019","September","Curry",259436.53
"1746","2022","April","Baker",258621.98
"1747","2019","November","Curry",258287.75
"1748","2019","December","Baker",257412.69
"1749","2021","May","Jefferson",257362.97
"1750","2018","October","Union",256997.66
"1751","2020","May","Baker",255960.13
"1752","2022","July","Jefferson",255846.03
"1753","2019","September","Union",255290.86
"1754","2020","July","Jefferson",255079.7
"1755","2022","January","Malheur",254936.28
"1756","2020","March","Curry",253662.61
"1757","2019","March","Crook",253411.98
"1758","2021","August","Baker",252976.48
"1759","2020","July","Malheur",252674.45
"1760","2018","December","Curry",252579.6
"1761","2018","June","Crook",252238.15
"1762","2019","March","Union",251405.75
"1763","2017","November","Union",251291.12
"1764","2020","February","Curry",250739.52
"1765","2018","July","Union",250652.47
"1766","2021","January","Crook",250295.08
"1767","2021","November","Jefferson",249811.21
"1768","2020","August","Baker",248791.02
"1769","2018","May","Union",248286.09
"1770","2021","July","Jefferson",248128.96
"1771","2018","December","Baker",248078.26
"1772","2018","August","Crook",248005.88
"1773","2019","July","Baker",247091.3
"1774","2019","October","Malheur",246933.61
"1775","2020","September","Malheur",246929.95
"1776","2022","June","Jefferson",246547.21
"1777","2018","September","Union",246482.34
"1778","2021","April","Baker",246364.68
"1779","2018","November","Curry",246267.02
"1780","2019","May","Curry",245318.43
"1781","2021","February","Crook",245099.56
"1782","2022","November","Jefferson",245085.25
"1783","2019","June","Curry",244574.24
"1784","2020","February","Crook",244335.75
"1785","2018","November","Malheur",244017.84
"1786","2018","September","Curry",243993.4
"1787","2020","February","Union",243632.95
"1788","2020","October","Jefferson",243226.32
"1789","2017","September","Union",241853.94
"1790","2020","May","Jefferson",241772.47
"1791","2017","July","Curry",241706.35
"1792","2020","August","Malheur",241614.39
"1793","2020","November","Baker",241411.91
"1794","2020","August","Jefferson",241271.48
"1795","2017","September","Crook",240945.29
"1796","2019","April","Union",240261.7
"1797","2017","June","Union",240051.28
"1798","2018","March","Union",239868.81
"1799","2017","December","Baker",239765.52
"1800","2018","May","Crook",239209.96
"1801","2017","August","Curry",238916.11
"1802","2022","May","Jefferson",238621.73
"1803","2018","July","Crook",237646.77
"1804","2017","December","Curry",237598.88
"1805","2017","August","Union",237249.01
"1806","2019","December","Jefferson",236976.09
"1807","2022","September","Jefferson",236516.65
"1808","2019","March","Curry",236316.06
"1809","2022","August","Jefferson",236154.4
"1810","2022","March","Baker",236151.3
"1811","2021","October","Jefferson",235876.72
"1812","2017","July","Crook",235592.12
"1813","2020","April","Malheur",235278.05
"1814","2018","July","Baker",235084.47
"1815","2018","September","Crook",234702.75
"1816","2018","June","Curry",234465.66
"1817","2021","April","Jefferson",234324.59
"1818","2020","January","Union",233844.8
"1819","2020","January","Curry",233508.39
"1820","2019","April","Crook",233086.15
"1821","2017","July","Union",232919.15
"1822","2018","December","Jefferson",232893.95
"1823","2020","November","Jefferson",232864.65
"1824","2020","June","Jefferson",232235.46
"1825","2021","August","Jefferson",231980.59
"1826","2020","January","Crook",230297.55
"1827","2018","May","Curry",229350.79
"1828","2017","August","Jefferson",229293.66
"1829","2019","August","Baker",228928.1
"1830","2017","June","Crook",228615.37
"1831","2022","April","Jefferson",227889.75
"1832","2019","February","Union",227703.59
"1833","2020","March","Jefferson",226085.91
"1834","2021","March","Baker",225836.13
"1835","2022","October","Jefferson",225058.79
"1836","2017","March","Union",225023.74
"1837","2021","January","Baker",224980.24
"1838","2017","December","Jefferson",224664.61
"1839","2017","May","Union",224440.6
"1840","2019","May","Malheur",223216.25
"1841","2017","November","Crook",223146.9
"1842","2018","December","Crook",222924.46
"1843","2021","March","Jefferson",222894.17
"1844","2017","May","Crook",222754.21
"1845","2021","February","Malheur",222649.86
"1846","2017","November","Malheur",222647.34
"1847","2018","March","Crook",222063.6
"1848","2021","September","Jefferson",222048.04
"1849","2022","March","Jefferson",221875.41
"1850","2019","January","Union",221141.4
"1851","2018","October","Crook",220702.86
"1852","2018","April","Union",220512.41
"1853","2019","November","Baker",220260.3
"1854","2020","March","Baker",219742.31
"1855","2017","August","Baker",219055.81
"1856","2019","February","Crook",218937.22
"1857","2021","January","Malheur",218633.8
"1858","2019","October","Baker",218397.77
"1859","2021","June","Jefferson",218296.77
"1860","2020","September","Jefferson",218269.65
"1861","2019","May","Baker",218019.22
"1862","2017","October","Crook",217967.85
"1863","2018","August","Baker",217747.88
"1864","2019","August","Malheur",217389.06
"1865","2020","April","Curry",216592.93
"1866","2018","October","Malheur",216358.15
"1867","2018","October","Curry",215865.53
"1868","2018","March","Malheur",215652.93
"1869","2018","March","Curry",215619.14
"1870","2019","April","Curry",215295.58
"1871","2022","February","Baker",214532.61
"1872","2019","August","Crook",213529.64
"1873","2019","August","Jefferson",213222.73
"1874","2018","November","Baker",212772.09
"1875","2020","February","Malheur",212320.8
"1876","2018","February","Union",212177.32
"1877","2018","May","Baker",211721.62
"1878","2019","July","Malheur",210534.9
"1879","2018","June","Baker",209796.83
"1880","2019","January","Curry",209722.24
"1881","2019","February","Curry",209254.51
"1882","2019","March","Malheur",209124.06
"1883","2022","January","Baker",208425.13
"1884","2017","September","Curry",208162.64
"1885","2017","June","Baker",208026.72
"1886","2017","October","Malheur",207941.3
"1887","2017","June","Curry",207612.08
"1888","2021","February","Baker",206636.34
"1889","2019","September","Malheur",205137.47
"1890","2017","October","Curry",204891.98
"1891","2018","April","Crook",204349.5
"1892","2017","July","Baker",204084.82
"1893","2017","April","Union",203949.95
"1894","2018","January","Union",203826.77
"1895","2019","June","Malheur",202861.6
"1896","2022","February","Jefferson",202690.08
"1897","2017","March","Crook",202625.84
"1898","2019","July","Jefferson",202603.74
"1899","2020","April","Baker",202525.01
"1900","2017","November","Curry",202368.35
"1901","2018","June","Malheur",202200.2
"1902","2017","June","Malheur",201624.19
"1903","2020","January","Malheur",200737.8
"1904","2020","April","Jefferson",200420.25
"1905","2017","August","Malheur",200280.67
"1906","2018","September","Baker",200028.43
"1907","2022","January","Jefferson",198942.56
"1908","2018","August","Malheur",198659.85
"1909","2018","April","Curry",198440.47
"1910","2017","September","Baker",198221.03
"1911","2018","May","Malheur",198098
"1912","2019","April","Malheur",197803.99
"1913","2021","January","Jefferson",197457.01
"1914","2019","June","Baker",197284.82
"1915","2019","September","Baker",196988.3
"1916","2017","October","Baker",196908.19
"1917","2017","May","Malheur",196495.91
"1918","2017","July","Jefferson",196429.36
"1919","2018","October","Baker",196291
"1920","2017","March","Malheur",196273.25
"1921","2017","May","Curry",195394.77
"1922","2017","November","Baker",195235.69
"1923","2018","February","Curry",194811.47
"1924","2017","April","Crook",194789.03
"1925","2019","May","Jefferson",193427.26
"1926","2017","May","Baker",193410.69
"1927","2018","August","Jefferson",193358.23
"1928","2017","February","Union",192922.35
"1929","2021","February","Jefferson",192204.95
"1930","2019","January","Malheur",191888.44
"1931","2018","July","Jefferson",189996.22
"1932","2017","September","Malheur",189756.98
"1933","2018","February","Crook",188742.65
"1934","2019","February","Malheur",187956.18
"1935","2019","November","Jefferson",187699.76
"1936","2019","June","Jefferson",187238.3
"1937","2018","November","Jefferson",186602.82
"1938","2018","January","Crook",183791.75
"1939","2018","June","Jefferson",183361.5
"1940","2018","September","Malheur",183265.95
"1941","2019","April","Baker",182758.11
"1942","2018","May","Jefferson",182677.05
"1943","2017","February","Crook",182617.95
"1944","2018","February","Malheur",181848.1
"1945","2020","February","Baker",181702.27
"1946","2017","March","Curry",181397.63
"1947","2018","March","Baker",181097.47
"1948","2017","April","Malheur",180774.71
"1949","2018","July","Malheur",180631.89
"1950","2017","July","Malheur",179540.49
"1951","2019","October","Jefferson",179429.66
"1952","2019","March","Baker",179175.43
"1953","2017","February","Malheur",178885.74
"1954","2018","January","Curry",177913.11
"1955","2018","April","Malheur",177348.82
"1956","2021","July","Wallowa",176622.03
"1957","2022","December","Wallowa",174877.12
"1958","2017","June","Jefferson",173930.61
"1959","2019","September","Jefferson",173713.9
"1960","2017","March","Baker",172750.9
"1961","2017","April","Curry",172588.34
"1962","2018","September","Jefferson",171960.03
"1963","2018","January","Malheur",171769.3
"1964","2018","March","Jefferson",171292.12
"1965","2017","February","Curry",170809.73
"1966","2018","October","Jefferson",170556.27
"1967","2019","March","Jefferson",170335.44
"1968","2018","April","Baker",169937.04
"1969","2022","July","Wallowa",169136.51
"1970","2017","May","Jefferson",168053.07
"1971","2019","February","Baker",167710.72
"1972","2020","January","Baker",167361.63
"1973","2019","April","Jefferson",165482.86
"1974","2017","April","Baker",165448.48
"1975","2017","November","Jefferson",165018.62
"1976","2017","October","Jefferson",163196.9
"1977","2020","December","Wallowa",161180.68
"1978","2021","December","Wallowa",160492.87
"1979","2019","January","Baker",159457.25
"1980","2020","February","Jefferson",158669.74
"1981","2018","January","Baker",156893.12
"1982","2017","February","Baker",156390.52
"1983","2022","August","Wallowa",154958.11
"1984","2017","September","Jefferson",154399.39
"1985","2020","January","Jefferson",153742
"1986","2018","February","Baker",153683.61
"1987","2018","April","Jefferson",153141.18
"1988","2019","February","Jefferson",152914.01
"1989","2020","July","Wallowa",152169.3
"1990","2017","April","Jefferson",149840.31
"1991","2020","August","Wallowa",149656.03
"1992","2017","March","Jefferson",148799.05
"1993","2021","December","Harney",148592.65
"1994","2022","September","Wallowa",146427.44
"1995","2018","February","Jefferson",145819.75
"1996","2022","December","Morrow",145582.94
"1997","2020","October","Wallowa",145329.29
"1998","2022","October","Wallowa",144717.29
"1999","2022","December","Lake",144109.16
"2000","2019","January","Jefferson",143885.6
"2001","2021","September","Wallowa",143741.36
"2002","2022","December","Harney",143737.66
"2003","2022","September","Lake",143331.6
"2004","2021","August","Wallowa",143233.75
"2005","2019","July","Wallowa",142903.44
"2006","2020","September","Wallowa",142276.67
"2007","2021","December","Lake",141159.51
"2008","2021","October","Lake",139033.65
"2009","2021","June","Wallowa",138998.11
"2010","2022","June","Wallowa",137484.97
"2011","2021","May","Lake",137003.33
"2012","2022","May","Wallowa",136884.59
"2013","2022","November","Wallowa",136448.53
"2014","2020","December","Harney",136001
"2015","2020","December","Lake",135483.75
"2016","2021","October","Wallowa",135428.5
"2017","2020","October","Lake",135312.84
"2018","2021","May","Wallowa",134156.03
"2019","2017","February","Jefferson",130857.91
"2020","2018","January","Jefferson",130354.4
"2021","2019","August","Lake",129452.25
"2022","2022","December","Grant",129428.26
"2023","2022","September","Grant",127605.51
"2024","2019","August","Wallowa",127488.12
"2025","2021","October","Grant",127388.53
"2026","2020","June","Lake",127066.51
"2027","2020","June","Wallowa",126976
"2028","2021","September","Grant",126783.54
"2029","2021","November","Wallowa",126711.86
"2030","2021","December","Morrow",125406.05
"2031","2022","October","Grant",124778.5
"2032","2020","November","Wallowa",124671.97
"2033","2022","July","Lake",124552.87
"2034","2019","December","Wallowa",124525.13
"2035","2022","November","Grant",124451.02
"2036","2022","May","Lake",123768.94
"2037","2021","November","Grant",122940.48
"2038","2018","December","Wallowa",122917.94
"2039","2018","July","Wallowa",122823.41
"2040","2022","November","Lake",122220.55
"2041","2020","July","Lake",122064.24
"2042","2021","December","Grant",122012.5
"2043","2022","June","Lake",121932.89
"2044","2020","October","Grant",120752.17
"2045","2022","October","Lake",120641.04
"2046","2021","September","Lake",120068.57
"2047","2017","July","Wallowa",119802.26
"2048","2020","September","Grant",119354.08
"2049","2019","December","Lake",118443.51
"2050","2020","December","Grant",118303.81
"2051","2020","October","Harney",118031.72
"2052","2020","May","Wallowa",117959.54
"2053","2022","November","Harney",117769.37
"2054","2017","September","Lake",116917.88
"2055","2021","October","Harney",116084.8
"2056","2017","December","Wallowa",115901.57
"2057","2018","August","Wallowa",115640.53
"2058","2022","August","Lake",115378.37
"2059","2019","November","Lake",115197.78
"2060","2021","April","Lake",115195.05
"2061","2021","September","Harney",115029.75
"2062","2021","August","Lake",114109.97
"2063","2018","June","Wallowa",113970.87
"2064","2021","November","Harney",113863
"2065","2022","September","Harney",113190.84
"2066","2017","August","Wallowa",113185.87
"2067","2020","August","Lake",113182.58
"2068","2022","August","Grant",112775.83
"2069","2021","June","Harney",112541.24
"2070","2022","March","Lake",112324.68
"2071","2021","July","Lake",112304.81
"2072","2021","November","Lake",112139.93
"2073","2019","October","Wallowa",111977.56
"2074","2019","September","Lake",111399.37
"2075","2020","November","Lake",111240.65
"2076","2020","March","Lake",110989.78
"2077","2022","July","Grant",110179.23
"2078","2019","December","Harney",109980.2
"2079","2020","November","Grant",109568.64
"2080","2019","September","Wallowa",109075.52
"2081","2021","August","Harney",109071.01
"2082","2021","June","Lake",109023.49
"2083","2020","April","Lake",108905.5
"2084","2020","September","Lake",108843.68
"2085","2020","September","Harney",108626.05
"2086","2021","May","Harney",108608.76
"2087","2019","July","Lake",108567.8
"2088","2021","April","Wallowa",108018.75
"2089","2022","October","Harney",107967.2
"2090","2019","June","Wallowa",107740.12
"2091","2018","December","Lake",107622.17
"2092","2022","April","Lake",107284.27
"2093","2021","August","Grant",107158.83
"2094","2021","March","Wallowa",107022.43
"2095","2021","May","Grant",106926.32
"2096","2021","January","Lake",106855.02
"2097","2017","June","Wallowa",106416.9
"2098","2021","July","Grant",106232.94
"2099","2020","August","Grant",105892.39
"2100","2022","April","Wallowa",105748.06
"2101","2020","July","Harney",105188.6
"2102","2021","July","Harney",104994.9
"2103","2020","July","Grant",104685.57
"2104","2022","May","Harney",104586.85
"2105","2020","November","Harney",104473.2
"2106","2022","October","Morrow",104332.11
"2107","2022","June","Harney",104014.4
"2108","2022","November","Morrow",103025.75
"2109","2018","September","Wallowa",102818.02
"2110","2022","May","Grant",102779.27
"2111","2021","April","Harney",102580.84
"2112","2022","April","Harney",102182.02
"2113","2017","September","Wallowa",101968
"2114","2020","May","Lake",101844.07
"2115","2020","December","Morrow",101824.75
"2116","2018","August","Lake",101550.88
"2117","2022","July","Harney",101303.61
"2118","2019","October","Lake",101277.43
"2119","2021","June","Grant",101268.64
"2120","2021","March","Lake",100994.57
"2121","2018","October","Wallowa",100991.19
"2122","2022","June","Morrow",100890.81
"2123","2022","June","Grant",100831.31
"2124","2022","March","Wallowa",100726.2
"2125","2022","January","Lake",100688.22
"2126","2020","May","Harney",100566.65
"2127","2019","November","Wallowa",100455.93
"2128","2020","May","Grant",99805.15
"2129","2022","August","Harney",99784.49
"2130","2022","April","Grant",99675.24
"2131","2020","April","Wallowa",99117.73
"2132","2020","August","Harney",98703.94
"2133","2018","November","Wallowa",98569.43
"2134","2018","November","Grant",98461.22
"2135","2017","August","Grant",98372.24
"2136","2022","February","Lake",98255.62
"2137","2019","May","Wallowa",98246.36
"2138","2022","September","Morrow",97590.02
"2139","2021","February","Wallowa",97579.94
"2140","2019","October","Grant",97330.27
"2141","2021","March","Harney",97235.41
"2142","2020","June","Harney",97041.9
"2143","2020","March","Wallowa",96778.37
"2144","2021","October","Morrow",96504.82
"2145","2021","March","Grant",96170.82
"2146","2020","June","Grant",95843.18
"2147","2017","December","Lake",95665.79
"2148","2021","January","Wallowa",95620.07
"2149","2021","November","Morrow",95569.98
"2150","2018","December","Grant",95533.54
"2151","2018","December","Harney",95322.2
"2152","2019","November","Harney",95296.65
"2153","2021","April","Grant",95125.66
"2154","2019","December","Grant",94987.34
"2155","2022","March","Grant",94825.92
"2156","2018","July","Lake",94523.35
"2157","2017","December","Grant",93571.28
"2158","2017","October","Wallowa",93433.3
"2159","2022","March","Harney",93358.95
"2160","2019","August","Grant",92945.93
"2161","2017","October","Lake",92838.35
"2162","2019","September","Grant",92059.92
"2163","2022","April","Morrow",91882.76
"2164","2020","February","Lake",91880.57
"2165","2018","October","Lake",91750.16
"2166","2022","July","Morrow",91236.49
"2167","2019","May","Lake",91172.53
"2168","2018","May","Wallowa",90800.46
"2169","2019","October","Harney",90735.15
"2170","2022","May","Morrow",90298.11
"2171","2022","March","Morrow",90197.04
"2172","2017","November","Wallowa",90183.32
"2173","2018","September","Grant",90028.72
"2174","2020","March","Harney",89820.55
"2175","2019","June","Lake",89605.22
"2176","2022","February","Wallowa",89421.97
"2177","2022","February","Harney",89219.45
"2178","2022","August","Morrow",88823.6
"2179","2017","December","Harney",88677.81
"2180","2018","September","Lake",88482.16
"2181","2019","November","Grant",88318.42
"2182","2022","January","Harney",88297.75
"2183","2019","August","Harney",88230.5
"2184","2019","September","Harney",87913.96
"2185","2022","January","Wallowa",87538.18
"2186","2021","January","Harney",87494.86
"2187","2022","January","Grant",87477.68
"2188","2021","February","Lake",87049.52
"2189","2020","January","Lake",86387.17
"2190","2020","April","Harney",86277.78
"2191","2017","September","Grant",85492.65
"2192","2020","April","Grant",84959.2
"2193","2021","January","Grant",84825.04
"2194","2017","July","Lake",84810.23
"2195","2017","October","Grant",84672.47
"2196","2020","March","Grant",84643
"2197","2017","May","Wallowa",84524.51
"2198","2018","August","Grant",84442.29
"2199","2019","July","Grant",84276.3
"2200","2018","May","Lake",84083.43
"2201","2017","November","Grant",83587.96
"2202","2018","November","Lake",83328.02
"2203","2018","June","Lake",83146.79
"2204","2021","February","Harney",83101
"2205","2021","February","Grant",83098.72
"2206","2018","October","Grant",82825.41
"2207","2022","February","Grant",82709.58
"2208","2019","May","Grant",82628.35
"2209","2018","March","Lake",81203.09
"2210","2019","June","Harney",80716.24
"2211","2017","July","Grant",80552.79
"2212","2019","March","Lake",80407.44
"2213","2019","April","Wallowa",80179.32
"2214","2017","November","Lake",80088.64
"2215","2017","May","Lake",80080.35
"2216","2017","August","Lake",79994.22
"2217","2019","July","Harney",79756.9
"2218","2017","June","Lake",79422.85
"2219","2019","May","Harney",79364.65
"2220","2019","March","Wallowa",79329.83
"2221","2018","November","Harney",79299.5
"2222","2018","August","Harney",78932.05
"2223","2021","September","Morrow",77986.46
"2224","2019","February","Lake",77814.84
