"","Year","Month","COUNTY","Total.Sales"
"436","2017","June","Marion",2838065.9
"437","2017","October","Marion",2838001.76
"438","2018","September","Marion",2813447.36
"439","2021","September","Jackson",2790142.32
"440","2019","February","Marion",2788148.65
"441","2017","May","Marion",2775910.91
"442","2020","June","Jackson",2773391.22
"443","2020","March","Jackson",2770891.13
"444","2021","August","Jackson",2765827.18
"445","2017","March","Marion",2762401.38
"446","2017","September","Marion",2760799.67
"447","2020","August","Jackson",2740980.92
"448","2018","February","Deschutes",2740142.17
"449","2018","April","Marion",2733596.2
"450","2017","April","Deschutes",2695259.34
"451","2018","January","Deschutes",2693524.2
"452","2019","January","Marion",2677764.22
"453","2022","February","Jackson",2651194.03
"454","2020","September","Jackson",2642125.79
"455","2019","November","Jackson",2640276.94
"456","2017","April","Marion",2635915.69
"457","2022","January","Jackson",2579878.62
"458","2018","February","Marion",2567438.4
"459","2021","January","Jackson",2558759.37
"460","2017","February","Deschutes",2557327.93
"461","2020","April","Jackson",2552479.14
"462","2019","October","Jackson",2520534.98
"463","2021","February","Jackson",2497436.66
"464","2018","January","Marion",2478820.83
"465","2017","February","Marion",2473256.39
"466","2019","August","Jackson",2440944.03
"467","2019","May","Jackson",2421928.26
"468","2019","July","Jackson",2402343.26
"469","2018","November","Jackson",2395998.32
"470","2019","June","Jackson",2338041.28
"471","2019","April","Jackson",2287668.07
"472","2019","March","Jackson",2279785.73
"473","2020","February","Jackson",2273733.81
"474","2018","May","Jackson",2269848.19
"475","2018","August","Jackson",2248002.56
"476","2018","October","Jackson",2240767.78
"477","2020","January","Jackson",2237884.84
"478","2018","July","Jackson",2235193.48
"479","2018","June","Jackson",2223407.92
"480","2017","November","Jackson",2216852.99
"481","2019","September","Jackson",2189153.11
"482","2018","March","Jackson",2175344.61
"483","2021","December","Umatilla",2144635.19
"484","2017","June","Jackson",2136286.67
"485","2017","August","Jackson",2135559.75
"486","2017","July","Jackson",2135091.05
"487","2017","October","Jackson",2125299.65
"488","2022","December","Umatilla",2107559.19
"489","2020","December","Umatilla",2106218.86
"490","2017","March","Jackson",2063281.95
"491","2019","February","Jackson",2055844.79
"492","2019","January","Jackson",2054761.15
"493","2018","September","Jackson",2048373.69
"494","2017","May","Jackson",2020149.63
"495","2017","September","Jackson",2005597.03
"496","2022","December","Douglas",1958578.35
"497","2017","April","Jackson",1933716.89
"498","2021","December","Douglas",1925704.38
"499","2018","April","Jackson",1915191.16
"500","2021","December","Linn",1896312.78
"501","2018","February","Jackson",1886631.58
"502","2022","December","Linn",1884519.59
"503","2018","January","Jackson",1849977.95
"504","2017","February","Jackson",1839858.86
"505","2020","December","Linn",1804848.26
"506","2021","December","Yamhill",1797880.28
"507","2020","December","Douglas",1788825.51
"508","2022","December","Yamhill",1773635.93
"509","2021","December","Josephine",1727011.29
"510","2022","September","Umatilla",1726243.8
"511","2022","December","Josephine",1697041.24
"512","2020","December","Yamhill",1696925.94
"513","2019","December","Umatilla",1653527.74
"514","2020","December","Josephine",1642169.43
"515","2018","December","Umatilla",1630092
"516","2021","July","Lincoln",1606097.27
"517","2021","September","Umatilla",1598936.24
"518","2020","May","Umatilla",1596140.24
"519","2022","November","Umatilla",1595519.48
"520","2022","July","Umatilla",1577083.96
"521","2021","December","Benton",1554524.01
"522","2022","July","Lincoln",1551406.19
"523","2020","October","Umatilla",1550625.59
"524","2022","December","Columbia",1549201.57
"525","2022","August","Lincoln",1546216.49
"526","2020","June","Umatilla",1542548.31
"527","2022","August","Clatsop",1539055.41
"528","2021","November","Umatilla",1533660.28
"529","2021","July","Umatilla",1527221.32
"530","2022","August","Douglas",1525864.88
"531","2020","December","Columbia",1521716.81
"532","2019","December","Linn",1518960.04
"533","2022","November","Douglas",1518330.01
"534","2020","November","Umatilla",1516101.81
"535","2022","July","Douglas",1513409.94
"536","2022","December","Benton",1511630.41
"537","2021","July","Douglas",1504923.07
"538","2021","October","Umatilla",1504853.61
"539","2022","July","Clatsop",1501810.28
"540","2021","December","Columbia",1499568.65
"541","2021","July","Clatsop",1494502.49
"542","2022","July","Linn",1487201.91
"543","2022","June","Umatilla",1485209.27
"544","2020","July","Umatilla",1485158.66
"545","2021","November","Douglas",1482021.26
"546","2020","May","Linn",1475658.21
"547","2018","December","Linn",1470861.88
"548","2022","June","Douglas",1469837.33
"549","2022","May","Umatilla",1469169.45
"550","2022","September","Douglas",1467774.42
"551","2019","December","Douglas",1465811.9
"552","2022","October","Douglas",1464705.7
"553","2022","April","Douglas",1464113.6
"554","2022","March","Douglas",1461441.75
"555","2020","August","Clatsop",1460930.73
"556","2021","October","Douglas",1460091.1
"557","2022","August","Umatilla",1457741.56
"558","2020","July","Lincoln",1457205.37
"559","2022","October","Umatilla",1457130.16
"560","2021","May","Umatilla",1456971.53
"561","2021","August","Lincoln",1455885.25
"562","2022","November","Linn",1454941.03
"563","2021","July","Linn",1449194.96
"564","2021","December","Clatsop",1448130.66
"565","2021","August","Clatsop",1447145.22
"566","2020","August","Lincoln",1445664.64
"567","2022","December","Lincoln",1445537.02
"568","2022","September","Lincoln",1442636.18
"569","2022","April","Linn",1441732.66
"570","2021","April","Douglas",1441412.86
"571","2021","May","Douglas",1438294.9
"572","2020","July","Douglas",1437815.96
"573","2022","May","Douglas",1437404.64
"574","2021","March","Umatilla",1434157.88
"575","2021","April","Umatilla",1432055.08
"576","2020","October","Douglas",1429770.21
"577","2021","October","Josephine",1429565.68
"578","2020","March","Linn",1426595.58
"579","2021","December","Lincoln",1425255.42
"580","2020","March","Umatilla",1424949.85
"581","2020","July","Clatsop",1423611.7
"582","2020","October","Linn",1421290.09
"583","2022","April","Umatilla",1420979.33
"584","2020","October","Josephine",1419827.99
"585","2018","December","Douglas",1416660.02
"586","2017","December","Umatilla",1409144.49
"587","2021","June","Douglas",1405166.59
"588","2021","July","Josephine",1402181.49
"589","2020","July","Linn",1399814.61
"590","2020","December","Benton",1393586.24
"591","2021","March","Douglas",1392235.85
"592","2021","November","Linn",1390063.57
"593","2022","November","Josephine",1388804.8
"594","2021","May","Linn",1387719.81
"595","2021","November","Josephine",1383831
"596","2020","April","Umatilla",1382788.4
"597","2022","March","Umatilla",1382532.48
"598","2019","December","Yamhill",1380934.88
"599","2020","December","Lincoln",1380739.03
"600","2022","August","Linn",1380629.95
"601","2020","May","Douglas",1380218.96
"602","2021","March","Linn",1378804.39
"603","2020","September","Umatilla",1378750.12
"604","2021","April","Josephine",1373396.67
"605","2022","July","Josephine",1369641.57
"606","2021","August","Linn",1365017.12
"607","2022","December","Clatsop",1364495.7
"608","2021","August","Umatilla",1364168.43
"609","2021","June","Umatilla",1362275.66
"610","2022","October","Linn",1361572.59
"611","2020","November","Douglas",1360215.04
"612","2021","September","Douglas",1359194.98
"613","2022","September","Clatsop",1359154.54
"614","2017","December","Douglas",1359146.07
"615","2021","April","Linn",1358917.63
"616","2022","July","Yamhill",1358096.2
"617","2019","August","Lincoln",1358026.59
"618","2020","April","Linn",1357956.46
"619","2020","August","Douglas",1357900.61
"620","2021","October","Linn",1357885.79
"621","2020","October","Lincoln",1357758.09
"622","2020","March","Douglas",1357671.49
"623","2022","May","Josephine",1356563.46
"624","2022","March","Linn",1355677.27
"625","2021","September","Lincoln",1355327.24
"626","2021","May","Josephine",1353776.12
"627","2020","November","Linn",1353163.55
"628","2022","June","Linn",1351497.39
"629","2019","December","Josephine",1348958.76
"630","2021","August","Douglas",1345247.7
"631","2021","June","Lincoln",1344037.46
"632","2022","June","Josephine",1342068.1
"633","2019","August","Clatsop",1339990.33
"634","2020","August","Umatilla",1339409.87
"635","2022","September","Linn",1339175.12
"636","2021","May","Lincoln",1337620.45
"637","2020","June","Linn",1337446.63
"638","2020","May","Yamhill",1337039.65
"639","2022","May","Linn",1335968.05
"640","2022","June","Lincoln",1334674.84
"641","2020","November","Josephine",1331104.52
"642","2022","November","Yamhill",1328228.46
"643","2021","September","Clatsop",1326815.65
"644","2022","March","Lincoln",1326735.49
"645","2021","February","Douglas",1324541.82
"646","2020","December","Clatsop",1324316.83
"647","2022","August","Josephine",1323426.73
"648","2020","August","Linn",1323033.26
"649","2021","April","Lincoln",1322769.62
"650","2020","September","Clatsop",1320428.13
"651","2022","October","Josephine",1315375.68
"652","2017","December","Linn",1315350.81
"653","2021","September","Josephine",1314405.73
"654","2021","October","Lincoln",1314380.04
"655","2019","September","Umatilla",1314175.53
"656","2020","July","Josephine",1313892.59
"657","2021","October","Benton",1312096.53
"658","2020","June","Douglas",1311807.04
"659","2022","February","Douglas",1311137.21
"660","2021","December","Polk",1311101.08
"661","2021","June","Josephine",1310256.58
"662","2021","October","Yamhill",1310143.55
"663","2019","December","Columbia",1309469.21
"664","2022","April","Lincoln",1308717.51
"665","2019","November","Umatilla",1308607.33
"666","2020","March","Yamhill",1308189.77
"667","2021","March","Lincoln",1307212.39
"668","2020","October","Yamhill",1306702.62
"669","2021","July","Yamhill",1306034.31
"670","2022","December","Polk",1305413.33
"671","2020","May","Josephine",1304236.23
"672","2022","March","Josephine",1303405.29
"673","2021","March","Josephine",1301596.57
"674","2022","December","Coos",1295919.71
"675","2021","June","Linn",1295092.29
"676","2021","June","Clatsop",1293574.57
"677","2022","September","Josephine",1292447.93
"678","2022","April","Josephine",1290545.6
"679","2021","September","Linn",1288858.65
"680","2022","October","Benton",1288523.37
"681","2022","June","Clatsop",1288154.07
"682","2021","November","Yamhill",1287635.7
"683","2020","March","Columbia",1286392.67
"684","2022","June","Yamhill",1285539.4
"685","2018","December","Josephine",1284497.31
"686","2022","October","Lincoln",1284413.57
"687","2018","December","Columbia",1282015.42
"688","2022","October","Yamhill",1280430.59
"689","2018","August","Lincoln",1280274.9
"690","2019","July","Clatsop",1280083.57
"691","2021","May","Yamhill",1279584.17
"692","2022","February","Umatilla",1279302.39
"693","2020","September","Douglas",1278620.73
"694","2021","April","Clatsop",1278400.22
"695","2020","August","Josephine",1277578.82
"696","2020","October","Clatsop",1277215.4
"697","2022","August","Yamhill",1276418.98
"698","2019","July","Lincoln",1274524.95
"699","2021","August","Josephine",1268804.8
"700","2020","July","Yamhill",1268269.22
"701","2020","September","Linn",1267134.26
"702","2018","September","Umatilla",1266309.33
"703","2021","January","Douglas",1266132.21
"704","2020","April","Douglas",1259843.58
"705","2022","November","Benton",1258878.57
"706","2022","November","Lincoln",1258760.07
"707","2018","August","Clatsop",1258655.3
"708","2022","May","Lincoln",1255921.19
"709","2022","April","Yamhill",1255522.26
"710","2022","January","Douglas",1254714.65
"711","2021","May","Clatsop",1253096.84
"712","2020","June","Josephine",1252079.59
"713","2021","December","Coos",1249345.83
"714","2020","June","Yamhill",1246904.49
"715","2019","July","Umatilla",1246335.47
"716","2021","April","Yamhill",1244338.24
"717","2021","March","Clatsop",1244101.07
"718","2022","March","Yamhill",1242880.49
"719","2022","May","Clatsop",1241992.49
"720","2020","September","Josephine",1241566.09
"721","2021","January","Linn",1241421.5
"722","2020","November","Yamhill",1240145.09
"723","2020","September","Lincoln",1239658.8
"724","2022","September","Yamhill",1239393.72
"725","2018","December","Yamhill",1237245.16
"726","2021","November","Lincoln",1235236.87
"727","2022","March","Clatsop",1232232.67
"728","2020","August","Yamhill",1232232.32
"729","2021","February","Linn",1231434.01
"730","2021","January","Umatilla",1231008.43
